Coin Name,Date,Open,High,Low,Close,Volume,Currency
1inch Token,24/11/2021,4.035861969,4.110427856,3.906249046,3.939383984,193396113,USD
1inch Token,25/11/2021,3.991647959,4.298491001,3.952496052,4.027429104,236682466,USD
1inch Token,26/11/2021,4.253359795,4.259741783,3.619939089,3.658556938,292682440,USD
1inch Token,27/11/2021,3.668518066,3.803975105,3.646179914,3.714103937,140033013,USD
1inch Token,28/11/2021,3.716970921,3.716970921,3.406291008,3.65486002,143846127,USD
1inch Token,29/11/2021,3.658407927,3.778923988,3.593888044,3.757875919,113538537,USD
1inch Token,30/11/2021,3.757855892,3.78864789,3.538417101,3.545732975,139007317,USD
1inch Token,01/12/2021,3.543380022,4.25356102,3.526916981,3.680926085,492707336,USD
1inch Token,02/12/2021,3.682899952,3.682899952,3.416101933,3.473849058,218097428,USD
1inch Token,03/12/2021,3.480772018,3.505506992,3.031682968,3.139674902,198750229,USD
1inch Token,04/12/2021,3.149013042,3.149013042,2.020865917,2.679066896,392114461,USD
1inch Token,05/12/2021,2.67316103,2.829273939,2.539622068,2.635057926,219960692,USD
1inch Token,06/12/2021,2.639158964,2.679924965,2.382307053,2.668334961,211343193,USD
